feedback_text,feedback_id,source,role,submitted_at,severity
图表没法导出成图片,FD-EXPORT-013,问卷,运营分析师,2026-08-13,P2
导出权限控制太死，普通成员也需要导出,FD-EXPORT-014,企业客户群,企业管理员,2026-08-14,P1
导出的表格没有表头说明,FD-EXPORT-015,客服工单,数据分析师,2026-08-15,P2
希望支持定时自动导出发送到邮箱,FD-EXPORT-016,问卷,运营分析师,2026-08-16,P2
导出中断后不能续传，只能重来,FD-EXPORT-017,客服工单,数据分析师,2026-08-17,P1
导出后的合计数和页面不一致,FD-EXPORT-018,客服工单,企业管理员,2026-08-18,P0
移动端没法导出文件,FD-EXPORT-019,应用商店,普通成员,2026-08-19,P1
导出为 Excel 时公式丢失了,FD-EXPORT-020,企业客户群,数据分析师,2026-08-20,P1
客服三天了都没回复我的问题,FD-SUPPORT-001,客服工单,普通成员,2026-08-01,P0
在线客服排队要等两个小时,FD-SUPPORT-002,应用商店,普通成员,2026-08-02,P1
客服给的答案是模板回复，完全没解决问题,FD-SUPPORT-003,客服工单,普通成员,2026-08-03,P1
找不到人工客服入口，机器人答非所问,FD-SUPPORT-004,问卷,普通成员,2026-08-04,P1
客服电话永远打不通,FD-SUPPORT-005,客服工单,企业管理员,2026-08-05,P0
提工单之后杳无音信,FD-SUPPORT-006,客服工单,普通成员,2026-08-06,P0
客服态度很好但是权限太小解决不了,FD-SUPPORT-007,企业客户群,企业管理员,2026-08-07,P1
晚上找不到客服，只有工作日白天有人,FD-SUPPORT-008,问卷,普通成员,2026-08-08,P2
客服承诺的回电从来没有兑现,FD-SUPPORT-009,客服工单,普通成员,2026-08-09,P1
工单状态显示已解决但问题还在,FD-SUPPORT-010,客服工单,企业管理员,2026-08-10,P0
客服让我重复描述了三遍问题,FD-SUPPORT-011,应用商店,普通成员,2026-08-11,P1
智能机器人完全听不懂我的问题,FD-SUPPORT-012,问卷,普通成员,2026-08-12,P1
客服热线是空号,FD-SUPPORT-013,客服工单,普通成员,2026-08-13,P0
紧急故障找不到值班电话,FD-SUPPORT-014,企业客户群,企业管理员,2026-08-14,P0
客服回复很慢，一个问题来回沟通一周,FD-SUPPORT-015,客服工单,运营分析师,2026-08-15,P1
工单分类选项里没有我要的类别,FD-SUPPORT-016,问卷,普通成员,2026-08-16,P2
客服说会升级处理，然后再也没有消息,FD-SUPPORT-017,客服工单,企业管理员,2026-08-17,P0
节假日完全没有客服支持,FD-SUPPORT-018,问卷,普通成员,2026-08-18,P1
客服让我自己去看帮助文档，但文档很旧,FD-SUPPORT-019,客服工单,普通成员,2026-08-19,P2
投诉渠道也找不到，体验很差,FD-SUPPORT-020,应用商店,普通成员,2026-08-20,P1
